Perfected ->1049863 ; Sv -> 2
Perfected ->1049866 ; Sv -> 2
Perfected ->1049868 ; Sv -> 2
Perfected ->1049864 ; Sv -> 2
Perfected ->1049867 ; Sv -> 2
Perfected ->1049875 ; Sv -> 2
Perfected ->1049881 ; Sv -> 2
Perfected ->1049879 ; Sv -> 2
Perfected ->1049876 ; Sv -> 2
Perfected ->1049878 ; Sv -> 2
Perfected ->1049880 ; Sv -> 2
Perfected ->1049876 ; Sv -> 2
Perfected ->1049880 ; Sv -> 2
Perfected ->1049878 ; Sv -> 2
Perfected ->1049891 ; Sv -> 2
Perfected ->1049878 ; Sv -> 2
Perfected ->1049880 ; Sv -> 2
Perfected ->1050132 ; Sv -> 2
Perfected ->1050133 ; Sv -> 2
Perfected ->1050131 ; Sv -> 2
Perfected ->1050130 ; Sv -> 2
Perfected ->1050131 ; Sv -> 2
Perfected ->1050131 ; Sv -> 2
Perfected ->1050132 ; Sv -> 2
Perfected ->1050133 ; Sv -> 2
Perfected ->1050130 ; Sv -> 2
Perfected ->1050116 ; Sv -> 2
Perfected ->1050115 ; Sv -> 2
Perfected ->1050094 ; Sv -> 2
